Sensor	px_state	py_state	vx_state	vy_state	NIS_value	RMSE[0]	RMSE[1]	RMSE[2]	RMSE[3]
  R		18.742		7.044		2.762		3.958		0.688		0.058	0.072	0.432	0.363
  L		18.924		7.219		2.764		3.973		2.694		0.059	0.071	0.431	0.362
  R		19.021		7.395		2.531		3.833		3.655		0.059	0.070	0.429	0.362
  L		19.115		7.671		2.409		4.031		3.061		0.058	0.070	0.427	0.361
  R		19.238		7.873		2.359		4.103		0.167		0.058	0.069	0.425	0.361
  L		19.315		8.100		2.220		4.177		1.867		0.057	0.068	0.423	0.360
  R		19.416		8.308		2.160		4.265		2.139		0.057	0.068	0.421	0.358
  L		19.500		8.468		2.052		4.186		2.727		0.056	0.067	0.419	0.358
  R		19.596		8.666		1.942		4.158		0.378		0.056	0.068	0.417	0.358
  L		19.743		8.867		1.940		4.194		3.651		0.056	0.069	0.416	0.358
  R		19.824		9.074		1.802		4.146		0.864		0.056	0.071	0.414	0.360
  L		19.946		9.322		1.769		4.273		3.383		0.057	0.073	0.414	0.360
  R		20.004		9.519		1.584		4.132		2.139		0.058	0.075	0.412	0.362
  L		20.086		9.775		1.505		4.265		1.330		0.060	0.077	0.411	0.363
  R		20.151		10.025		1.433		4.431		7.651		0.062	0.078	0.411	0.362
  L		20.200		10.313		1.301		4.594		1.619		0.063	0.078	0.410	0.361
  R		20.230		10.523		1.108		4.434		3.273		0.064	0.079	0.409	0.361
  L		20.284		10.817		0.997		4.613		2.629		0.066	0.078	0.408	0.359
  R		20.317		11.071		0.872		4.686		5.207		0.067	0.078	0.406	0.358
  L		20.348		11.320		0.750		4.735		0.112		0.069	0.077	0.405	0.356
  R		20.323		11.521		0.497		4.399		11.794		0.069	0.077	0.404	0.357
  L		20.381		11.784		0.429		4.511		4.201		0.070	0.076	0.402	0.357
  R		20.400		12.025		0.357		4.700		3.377		0.072	0.076	0.401	0.355
  L		20.384		12.335		0.172		4.872		1.930		0.073	0.075	0.400	0.353
  R		20.355		12.540		-0.016		4.583		4.303		0.074	0.074	0.398	0.352
  L		20.370		12.795		-0.113		4.643		1.369		0.075	0.074	0.396	0.351
  R		20.366		13.008		-0.215		4.549		1.891		0.076	0.073	0.395	0.350
  L		20.328		13.227		-0.356		4.522		1.112		0.077	0.072	0.393	0.349
  R		20.296		13.450		-0.481		4.521		1.395		0.078	0.072	0.392	0.349
  L		20.263		13.735		-0.632		4.644		1.617		0.079	0.072	0.390	0.347
  R		20.220		13.943		-0.751		4.496		1.081		0.080	0.071	0.389	0.346
  L		20.154		14.223		-0.934		4.604		0.944		0.080	0.070	0.387	0.344
  R		20.089		14.441		-1.068		4.531		1.641		0.081	0.070	0.385	0.343
  L		19.972		14.720		-1.314		4.627		2.390		0.080	0.069	0.383	0.341
  R		19.905		14.932		-1.421		4.577		3.047		0.080	0.069	0.381	0.340
  L		19.866		15.156		-1.482		4.526		1.401		0.079	0.068	0.379	0.338
  R		19.767		15.332		-1.584		4.129		9.229		0.079	0.067	0.378	0.338
  L		19.732		15.519		-1.612		4.036		1.865		0.080	0.068	0.376	0.339
  R		19.651		15.705		-1.705		3.956		1.069		0.081	0.069	0.375	0.340
  L		19.533		15.943		-1.891		4.008		0.549		0.081	0.070	0.373	0.340
  R		19.433		16.145		-2.011		4.008		1.533		0.082	0.071	0.372	0.340
  L		19.317		16.332		-2.130		3.929		0.511		0.082	0.073	0.370	0.339
  R		19.208		16.518		-2.226		3.830		0.254		0.083	0.075	0.369	0.339
  L		19.058		16.757		-2.432		3.885		0.701		0.083	0.077	0.367	0.338
  R		18.916		16.940		-2.554		3.691		7.859		0.083	0.079	0.365	0.338
  L		18.714		17.218		-2.876		3.840		2.658		0.082	0.078	0.364	0.337
  R		18.596		17.424		-2.939		3.864		4.677		0.081	0.078	0.362	0.335
  L		18.368		17.639		-3.219		3.851		4.301		0.081	0.077	0.361	0.333
  R		18.220		17.835		-3.294		3.813		2.239		0.080	0.077	0.360	0.332
  L		18.090		18.010		-3.312		3.682		0.867		0.080	0.076	0.359	0.330
  R		17.918		18.165		-3.401		3.509		2.019		0.079	0.076	0.357	0.329
  L		17.803		18.285		-3.337		3.285		1.044		0.078	0.077	0.356	0.327
  R		17.672		18.459		-3.353		3.211		6.617		0.078	0.078	0.354	0.326
  L		17.459		18.655		-3.561		3.212		0.580		0.077	0.078	0.352	0.324
  R		17.284		18.793		-3.622		3.068		1.677		0.076	0.078	0.350	0.323
  L		17.130		18.919		-3.623		2.908		0.241		0.076	0.080	0.349	0.322
  R		16.960		19.088		-3.684		2.859		3.246		0.075	0.081	0.347	0.320
  L		16.738		19.208		-3.817		2.734		2.701		0.075	0.082	0.345	0.319
  R		16.543		19.366		-3.918		2.674		3.221		0.074	0.083	0.344	0.318
  L		16.298		19.541		-4.132		2.665		0.723		0.073	0.083	0.342	0.316
  R		16.080		19.626		-4.202		2.467		10.006		0.073	0.084	0.341	0.314
  L		15.870		19.770		-4.284		2.391		0.686		0.072	0.085	0.339	0.313
  R		15.688		19.884		-4.206		2.261		3.728		0.072	0.086	0.337	0.311
  L		15.440		20.045		-4.386		2.248		1.180		0.071	0.085	0.336	0.310
  R		15.220		20.191		-4.442		2.199		5.952		0.071	0.084	0.334	0.309
  L		15.044		20.307		-4.394		2.083		2.255		0.070	0.084	0.333	0.307
  R		14.816		20.393		-4.454		1.946		1.857		0.070	0.083	0.331	0.306
  L		14.602		20.506		-4.493		1.860		0.769		0.069	0.082	0.329	0.304
  R		14.359		20.601		-4.604		1.757		0.948		0.069	0.081	0.328	0.303
  L		14.114		20.674		-4.673		1.621		0.549		0.068	0.080	0.326	0.302
  R		13.872		20.751		-4.755		1.499		0.215		0.068	0.080	0.325	0.301
  L		13.590		20.820		-4.895		1.377		1.302		0.069	0.079	0.324	0.299
  R		13.331		20.863		-5.034		1.207		2.369		0.071	0.078	0.324	0.298
  L		13.097		20.898		-5.006		1.034		0.292		0.073	0.077	0.323	0.296
  R		12.861		20.958		-5.000		0.914		1.816		0.074	0.077	0.323	0.295
  L		12.692		20.987		-4.819		0.751		2.303		0.074	0.076	0.321	0.293
  R		12.427		21.033		-4.927		0.638		2.551		0.074	0.075	0.320	0.292
  L		12.185		21.069		-4.936		0.515		0.113		0.074	0.074	0.318	0.291
  R		11.941		21.092		-4.980		0.377		1.078		0.075	0.074	0.317	0.289
  L		11.709		21.062		-4.925		0.175		2.128		0.075	0.073	0.315	0.288
  R		11.454		21.052		-4.967		0.012		1.210		0.075	0.073	0.314	0.287
  L		11.256		21.041		-4.841		-0.135		0.769		0.074	0.074	0.312	0.286
  R		10.989		21.008		-4.918		-0.312		4.368		0.074	0.075	0.311	0.285
  L		10.796		20.967		-4.776		-0.475		0.728		0.073	0.078	0.309	0.285
  R		10.555		20.957		-4.654		-0.561		4.832		0.073	0.080	0.309	0.285
  L		10.261		20.985		-4.797		-0.618		3.249		0.073	0.081	0.307	0.284
  R		10.027		20.963		-4.762		-0.729		0.973		0.072	0.081	0.306	0.283
  L		9.852		20.920		-4.594		-0.852		1.476		0.071	0.082	0.306	0.282
  R		9.646		20.895		-4.379		-0.901		1.807		0.071	0.083	0.307	0.281
  L		9.462		20.846		-4.276		-1.013		0.420		0.072	0.084	0.311	0.280
  R		9.255		20.799		-4.271		-1.132		1.375		0.074	0.084	0.314	0.279
  L		8.931		20.770		-4.490		-1.228		3.622		0.074	0.084	0.314	0.278
  R		8.727		20.690		-4.421		-1.368		4.116		0.074	0.085	0.314	0.277
  L		8.424		20.610		-4.568		-1.518		3.303		0.074	0.086	0.313	0.276
  R		8.198		20.531		-4.526		-1.640		0.026		0.073	0.087	0.312	0.275
  L		7.946		20.450		-4.543		-1.758		0.231		0.073	0.089	0.311	0.274
  R		7.728		20.367		-4.537		-1.893		3.214		0.072	0.090	0.309	0.274
  L		7.397		20.303		-4.725		-1.983		3.586		0.072	0.091	0.308	0.273
  R		7.169		20.207		-4.595		-2.052		0.451		0.072	0.092	0.307	0.273
  L		6.898		20.121		-4.639		-2.146		0.698		0.072	0.092	0.305	0.272
  R		6.684		20.028		-4.484		-2.188		0.827		0.073	0.092	0.304	0.271
  L		6.435		19.934		-4.489		-2.273		0.490		0.074	0.092	0.302	0.269
  R		6.230		19.839		-4.374		-2.328		3.120		0.074	0.092	0.301	0.268
  L		5.961		19.744		-4.432		-2.409		1.101		0.077	0.092	0.299	0.267
  R		5.719		19.603		-4.489		-2.590		1.344		0.080	0.091	0.298	0.266
  L		5.554		19.482		-4.302		-2.659		1.614		0.081	0.091	0.297	0.265
  R		5.353		19.336		-4.215		-2.776		1.609		0.081	0.091	0.295	0.264
  L		5.146		19.233		-4.146		-2.815		2.275		0.082	0.091	0.294	0.263
  R		4.979		19.118		-3.913		-2.784		4.608		0.081	0.090	0.293	0.261
  L		4.818		18.976		-3.780		-2.864		0.348		0.081	0.089	0.293	0.260
  R		4.605		18.825		-3.831		-3.030		1.736		0.080	0.089	0.293	0.259
  L		4.428		18.696		-3.732		-3.075		1.092		0.079	0.088	0.292	0.258
  R		4.265		18.552		-3.549		-3.071		1.020		0.079	0.087	0.293	0.256
  L		4.140		18.407		-3.378		-3.115		1.225		0.079	0.086	0.296	0.255
  R		3.934		18.236		-3.569		-3.431		7.232		0.079	0.085	0.296	0.255
  L		3.669		18.083		-3.660		-3.510		3.173		0.078	0.084	0.295	0.254
  R		3.524		17.934		-3.396		-3.408		3.604		0.078	0.083	0.295	0.253
  L		3.289		17.762		-3.450		-3.506		1.683		0.077	0.083	0.294	0.251
  R		3.098		17.580		-3.490		-3.687		2.070		0.076	0.082	0.293	0.251
  L		2.927		17.460		-3.403		-3.652		6.676		0.076	0.082	0.292	0.249
  R		2.761		17.249		-3.414		-3.886		2.131		0.075	0.081	0.291	0.249
  L		2.581		17.059		-3.351		-3.954		0.084		0.074	0.080	0.289	0.249
  R		2.436		16.894		-3.087		-3.774		2.433		0.074	0.080	0.289	0.248
  L		2.274		16.724		-3.023		-3.808		0.660		0.073	0.080	0.289	0.246
  R		2.113		16.525		-2.905		-3.799		4.691		0.073	0.080	0.290	0.245
  L		1.947		16.298		-2.870		-3.927		2.167		0.072	0.080	0.291	0.244
  R		1.811		16.121		-2.723		-3.867		0.682		0.072	0.079	0.293	0.243
  L		1.611		15.952		-2.762		-3.904		2.614		0.071	0.080	0.293	0.242
  R		1.468		15.722		-2.793		-4.168		1.797		0.071	0.079	0.293	0.241
  L		1.288		15.499		-2.789		-4.259		0.943		0.070	0.079	0.292	0.240
  R		1.145		15.307		-2.675		-4.206		1.299		0.069	0.079	0.292	0.239
  L		0.930		15.081		-2.752		-4.307		2.968		0.069	0.078	0.290	0.238
  R		0.812		14.903		-2.559		-4.143		2.632		0.069	0.079	0.290	0.237
  L		0.701		14.697		-2.456		-4.180		0.087		0.068	0.079	0.291	0.236
  R		0.577		14.456		-2.452		-4.406		1.535		0.067	0.079	0.291	0.235
  L		0.399		14.228		-2.478		-4.481		1.344		0.067	0.078	0.290	0.234
  R		0.256		13.975		-2.512		-4.739		1.825		0.067	0.078	0.289	0.236
  L		0.225		13.732		-2.249		-4.762		3.506		0.066	0.077	0.289	0.237
  R		0.109		13.489		-2.194		-4.876		0.454		0.066	0.076	0.290	0.239
  L		-0.052		13.249		-2.203		-4.927		1.249		0.066	0.076	0.290	0.241
  R		-0.159		13.035		-2.046		-4.740		1.613		0.065	0.075	0.291	0.241
  L		-0.172		12.822		-1.801		-4.701		3.604		0.068	0.074	0.295	0.240
  R		-0.276		12.597		-1.692		-4.584		2.689		0.071	0.073	0.301	0.239
  L		-0.391		12.365		-1.662		-4.630		0.450		0.074	0.073	0.307	0.238
  R		-0.494		12.157		-1.597		-4.572		3.510		0.077	0.072	0.313	0.237
  L		-0.573		11.945		-1.516		-4.569		0.464		0.082	0.071	0.319	0.236
  R		-0.680		11.715		-1.486		-4.589		2.999		0.087	0.071	0.325	0.235
  L		-0.864		11.465		-1.599		-4.681		6.008		0.088	0.070	0.328	0.234
  R		-0.937		11.245		-1.467		-4.507		2.216		0.090	0.070	0.333	0.233
  L		-1.108		11.016		-1.566		-4.564		4.891		0.091	0.069	0.336	0.233
  R		-1.192		10.771		-1.555		-4.757		1.149		0.092	0.069	0.338	0.232
  L		-1.329		10.509		-1.600		-4.838		2.148		0.091	0.068	0.339	0.231
  R		-1.422		10.247		-1.576		-4.953		1.070		0.092	0.068	0.339	0.230
  L		-1.524		10.035		-1.551		-4.916		2.643		0.092	0.067	0.340	0.229
  R		-1.599		9.813		-1.456		-4.792		0.758		0.092	0.066	0.342	0.228
  L		-1.683		9.594		-1.413		-4.775		0.891		0.093	0.066	0.344	0.227
  R		-1.792		9.341		-1.444		-4.901		3.217		0.094	0.066	0.345	0.226
  L		-1.892		9.039		-1.444		-5.033		4.038		0.094	0.065	0.346	0.226
  R		-1.960		8.826		-1.343		-4.829		2.181		0.095	0.065	0.348	0.225
  L		-2.065		8.572		-1.359		-4.882		0.806		0.095	0.064	0.349	0.223
  R		-2.183		8.318		-1.392		-4.894		4.079		0.095	0.063	0.350	0.222
  L		-2.240		8.088		-1.317		-4.877		0.262		0.096	0.063	0.351	0.221
  R		-2.291		7.886		-1.224		-4.757		5.070		0.098	0.063	0.354	0.221
  L		-2.411		7.631		-1.285		-4.830		2.083		0.098	0.062	0.355	0.219
  R		-2.541		7.405		-1.314		-4.636		7.644		0.098	0.062	0.356	0.220
  L		-2.656		7.146		-1.370		-4.720		1.618		0.098	0.062	0.356	0.220
  R		-2.720		6.917		-1.334		-4.765		1.168		0.097	0.062	0.356	0.219
  L		-2.768		6.715		-1.254		-4.696		1.340		0.098	0.063	0.358	0.219
  R		-2.810		6.509		-1.145		-4.468		2.674		0.100	0.065	0.360	0.222
  L		-2.877		6.274		-1.129		-4.508		0.148		0.102	0.068	0.363	0.225
  R		-2.995		6.024		-1.211		-4.615		5.652		0.103	0.071	0.365	0.225
  L		-3.094		5.737		-1.263		-4.757		2.861		0.104	0.072	0.366	0.225
  R		-3.191		5.497		-1.269		-4.607		3.627		0.105	0.073	0.367	0.226
  L		-3.299		5.226		-1.337		-4.725		1.905		0.105	0.073	0.367	0.225
  R		-3.375		4.981		-1.335		-4.761		0.149		0.105	0.073	0.367	0.225
  L		-3.504		4.685		-1.450		-4.937		3.742		0.104	0.073	0.366	0.224
  R		-3.611		4.435		-1.479		-4.795		3.734		0.104	0.072	0.366	0.223
  L		-3.753		4.146		-1.620		-4.962		4.174		0.103	0.071	0.364	0.222
  R		-3.843		3.905		-1.623		-4.960		1.047		0.102	0.071	0.362	0.221
  L		-3.911		3.681		-1.575		-4.895		0.356		0.101	0.070	0.361	0.220
  R		-4.003		3.490		-1.559		-4.668		4.948		0.100	0.070	0.360	0.219
  L		-4.096		3.244		-1.584		-4.715		0.214		0.099	0.070	0.359	0.219
  R		-4.221		2.977		-1.683		-4.757		2.387		0.098	0.069	0.357	0.218
  L		-4.317		2.693		-1.729		-4.893		1.206		0.097	0.069	0.356	0.217
  R		-4.411		2.438		-1.750		-4.918		0.112		0.096	0.068	0.354	0.216
  L		-4.521		2.163		-1.806		-5.020		0.777		0.095	0.068	0.352	0.216
  R		-4.632		1.923		-1.881		-4.972		5.504		0.095	0.067	0.351	0.215
  L		-4.753		1.636		-1.956		-5.104		1.357		0.094	0.068	0.349	0.216
  R		-4.881		1.369		-2.059		-5.165		1.376		0.095	0.069	0.347	0.218
  L		-4.932		1.160		-1.952		-4.982		4.700		0.095	0.070	0.346	0.218
  R		-5.025		0.955		-1.939		-4.854		1.390		0.094	0.070	0.344	0.217
  L		-5.080		0.742		-1.866		-4.735		3.095		0.093	0.069	0.343	0.216
  R		-5.185		0.418		-1.964		-5.035		5.021		0.092	0.070	0.341	0.217
  L		-5.258		0.188		-1.924		-4.953		1.240		0.091	0.071	0.340	0.217
  R		-5.368		-0.041		-1.915		-4.862		5.886		0.090	0.072	0.339	0.217
  L		-5.439		-0.265		-1.879		-4.796		1.178		0.090	0.073	0.339	0.216
  R		-5.553		-0.444		-1.940		-4.695		4.418		0.089	0.072	0.338	0.215
  L		-5.683		-0.621		-1.987		-4.553		3.344		0.088	0.072	0.338	0.214
  R		-5.796		-0.877		-2.144		-4.798		6.342		0.088	0.071	0.337	0.214
  L		-5.899		-1.152		-2.159		-4.877		0.810		0.087	0.071	0.336	0.215
  R		-5.990		-1.427		-2.156		-4.950		1.992		0.087	0.072	0.335	0.218
  L		-6.128		-1.635		-2.214		-4.855		2.044		0.086	0.072	0.334	0.219
  R		-6.264		-1.904		-2.396		-5.104		3.516		0.085	0.073	0.332	0.226
  L		-6.377		-2.155		-2.406		-5.083		0.089		0.085	0.076	0.331	0.233
  R		-6.521		-2.361		-2.428		-4.912		4.626		0.084	0.078	0.330	0.237
  L		-6.671		-2.568		-2.493		-4.814		1.684		0.083	0.079	0.328	0.239
  R		-6.820		-2.792		-2.574		-4.792		1.963		0.082	0.080	0.327	0.242
  L		-6.923		-3.050		-2.560		-4.817		0.970		0.082	0.083	0.325	0.245
  R		-7.050		-3.271		-2.543		-4.701		0.432		0.081	0.086	0.325	0.248
  L		-7.174		-3.454		-2.561		-4.574		2.171		0.081	0.087	0.324	0.248
  R		-7.321		-3.708		-2.622		-4.623		4.154		0.080	0.090	0.324	0.250
  L		-7.471		-3.839		-2.672		-4.398		6.974		0.080	0.091	0.323	0.250
  R		-7.612		-4.057		-2.759		-4.441		0.755		0.080	0.091	0.322	0.251
  L		-7.772		-4.279		-2.826		-4.423		0.643		0.079	0.092	0.321	0.252
  R		-7.921		-4.502		-2.867		-4.404		0.378		0.079	0.094	0.321	0.253
  L		-8.091		-4.734		-2.942		-4.408		1.171		0.078	0.096	0.320	0.256
  R		-8.231		-4.928		-2.848		-4.184		1.989		0.078	0.099	0.320	0.255
  L		-8.368		-5.131		-2.870		-4.151		0.089		0.078	0.101	0.321	0.256
  R		-8.512		-5.293		-2.844		-3.974		3.387		0.078	0.103	0.323	0.255
  L		-8.700		-5.489		-2.947		-3.950		2.517		0.079	0.104	0.324	0.254
  R		-8.859		-5.687		-3.014		-3.948		0.401		0.079	0.106	0.325	0.254
  L		-9.018		-5.866		-3.057		-3.887		0.245		0.080	0.108	0.327	0.253
  R		-9.154		-6.017		-3.009		-3.722		5.234		0.082	0.108	0.329	0.252
  L		-9.319		-6.119		-3.051		-3.543		4.975		0.084	0.108	0.332	0.251
  R		-9.494		-6.309		-3.177		-3.595		1.494		0.087	0.107	0.334	0.250
  L		-9.646		-6.505		-3.203		-3.591		0.199		0.090	0.107	0.336	0.250
  R		-9.860		-6.685		-3.433		-3.672		7.911		0.093	0.107	0.336	0.251
  L		-10.069		-6.853		-3.532		-3.608		1.351		0.095	0.107	0.336	0.252
  R		-10.250		-7.023		-3.605		-3.577		0.958		0.097	0.107	0.335	0.254
  L		-10.489		-7.208		-3.747		-3.547		4.340		0.097	0.108	0.334	0.256
  R		-10.686		-7.360		-3.798		-3.456		2.294		0.098	0.109	0.333	0.258
  L		-10.941		-7.526		-3.951		-3.393		4.380		0.097	0.111	0.332	0.260
  R		-11.122		-7.670		-3.881		-3.235		1.544		0.097	0.112	0.331	0.261
  L		-11.281		-7.806		-3.856		-3.143		2.729		0.099	0.113	0.330	0.262
  R		-11.469		-7.940		-3.867		-3.043		1.954		0.100	0.114	0.330	0.263
  L		-11.649		-8.037		-3.871		-2.899		3.310		0.103	0.114	0.330	0.263
  R		-11.832		-8.157		-3.784		-2.732		1.152		0.107	0.114	0.333	0.263
  L		-12.044		-8.244		-3.848		-2.599		1.553		0.110	0.113	0.334	0.262
  R		-12.272		-8.384		-4.153		-2.697		3.156		0.113	0.113	0.334	0.263
  L		-12.481		-8.462		-4.182		-2.544		2.459		0.117	0.112	0.333	0.263
  R		-12.673		-8.561		-4.050		-2.354		1.789		0.121	0.111	0.334	0.262
  L		-12.958		-8.652		-4.226		-2.241		6.156		0.123	0.110	0.333	0.261
  R		-13.204		-8.765		-4.411		-2.218		3.157		0.124	0.109	0.332	0.261
  L		-13.431		-8.809		-4.444		-2.036		3.177		0.126	0.107	0.330	0.261
  R		-13.626		-8.873		-4.240		-1.817		3.955		0.128	0.107	0.331	0.259
  L		-13.868		-8.961		-4.326		-1.736		0.942		0.130	0.106	0.331	0.258
  R		-14.125		-9.057		-4.632		-1.754		2.818		0.131	0.105	0.329	0.257
  L		-14.369		-9.149		-4.686		-1.678		0.258		0.132	0.104	0.328	0.257
  R		-14.591		-9.227		-4.603		-1.553		0.403		0.133	0.103	0.326	0.257
  L		-14.882		-9.231		-4.729		-1.340		4.073		0.133	0.102	0.325	0.256
  R		-15.140		-9.309		-4.780		-1.259		4.317		0.133	0.101	0.323	0.255
  L		-15.426		-9.401		-4.897		-1.203		4.568		0.132	0.100	0.321	0.254
  R		-15.656		-9.446		-4.702		-1.038		2.052		0.131	0.099	0.320	0.253
  L		-15.924		-9.509		-4.786		-0.959		1.814		0.130	0.098	0.318	0.253
  R		-16.165		-9.535		-4.730		-0.817		2.353		0.129	0.097	0.317	0.252
  L		-16.417		-9.525		-4.767		-0.641		1.403		0.128	0.096	0.316	0.251
  R		-16.621		-9.542		-4.662		-0.525		4.830		0.127	0.096	0.315	0.250
  L		-16.912		-9.520		-4.776		-0.337		2.847		0.126	0.095	0.313	0.248
  R		-17.171		-9.569		-4.926		-0.298		7.195		0.124	0.095	0.312	0.247
  L		-17.443		-9.573		-4.979		-0.171		0.574		0.123	0.094	0.310	0.246
  R		-17.695		-9.573		-4.894		-0.046		1.786		0.122	0.093	0.309	0.245
